job	name	srch	link	AveragePay	MinPay	MaxPay	AverageAdditional	MinAdditional	MaxAdditional	AveragePayRaw	MinPayRaw	MaxPayRaw	AdditionalCashRaw	AdditionalRangeRaw
mail-processing-clerk	Administrative	SRCH_KO0,21	https://www.glassdoor.com/Salaries/mail-processing-clerk-salary-SRCH_KO0,21.htm	30046	23000	37000	451	6	2594	$30,046	$23KLow	$37KHigh	$451	$6 - $2,594
facility-manager	Administrative	SRCH_KO0,16	https://www.glassdoor.com/Salaries/facility-manager-salary-SRCH_KO0,16.htm	71449	41000	99000	6380	1599	17750	$71,449	$41KLow	$99KHigh	$6,380	$1,599 - $17,750
admin-assistant	Administrative	SRCH_KO0,15	https://www.glassdoor.com/Salaries/admin-assistant-salary-SRCH_KO0,15.htm	44950	30000	62000	1788	442	7543	$44,950	$30KLow	$62KHigh	$1,788	$442 - $7,543
unit-secretary	Administrative	SRCH_KO0,14	https://www.glassdoor.com/Salaries/unit-secretary-salary-SRCH_KO0,14.htm	32402	25000	44000	573	155	1394	$32,402	$25KLow	$44KHigh	$573	$155 - $1,394
concierge	Administrative	SRCH_KO0,9	https://www.glassdoor.com/Salaries/concierge-salary-SRCH_KO0,9.htm	34821	25000	46000	2892	464	16022	$34,821	$25KLow	$46KHigh	$2,892	$464 - $16,022
medical-records-clerk	Administrative	SRCH_KO0,21	https://www.glassdoor.com/Salaries/medical-records-clerk-salary-SRCH_KO0,21.htm	36698	26000	54000	995	215	3808	$36,698	$26KLow	$54KHigh	$995	$215 - $3,808
real-estate-assistant	Administrative	SRCH_KO0,21	https://www.glassdoor.com/Salaries/real-estate-assistant-salary-SRCH_KO0,21.htm	41967	31000	57000	4991	358	17471	$41,967	$31KLow	$57KHigh	$4,991	$358 - $17,471
office-clerical	Administrative	SRCH_KO0,15	https://www.glassdoor.com/Salaries/office-clerical-salary-SRCH_KO0,15.htm	29704	21000	41000	819	183	3824	$29,704	$21KLow	$41KHigh	$819	$183 - $3,824
administration	Administrative	SRCH_KO0,14	https://www.glassdoor.com/Salaries/administration-salary-SRCH_KO0,14.htm	50989	34000	81000	3536	571	13215	$50,989	$34KLow	$81KHigh	$3,536	$571 - $13,215
corporate-receptionist	Administrative	SRCH_KO0,22	https://www.glassdoor.com/Salaries/corporate-receptionist-salary-SRCH_KO0,22.htm	29844	22000	39000	796	215	4256	$29,844	$22KLow	$39KHigh	$796	$215 - $4,256
