index	job	location	link	AveragePay	MinPay	MaxPay	AverageAdditional	MinAdditional	MaxAdditional	AveragePayRaw	MinPayRaw	MaxPayRaw	AdditionalCashRaw	AdditionalRangeRaw	HistBin1	HistBin2	HistBin3	HistBin4	HistBin5	HistBin6	HistBin7	HistBin8	HistBin9	HistBin10
software-engineer at New York	software-engineer	New York	https://www.glassdoor.com/Salaries/new-york-city-software-engineer-salary-SRCH_IL.0,13_IM615_KO14,31.htm	107197	77000	144000	9208	2114	24773	$107,197	"$77K
Low"	"$144K
High"	$9,208	$2,114 - $24,773	0.01673431912412101	0.07074605002194424	0.324570808659731	0.21042769409512874	0.15972518979115752	0.10883540813058964	0.06406508449649233	0.02978459728454974	0.011676564669857285	0.0034342837264286137
software-engineer at Chicago	software-engineer	Chicago	https://www.glassdoor.com/Salaries/chicago-software-engineer-salary-SRCH_IL.0,7_IM167_KO8,25.htm	89818	66000	119000	7571	1801	20000	$89,818	"$66K
Low"	"$119K
High"	$7,571	$1,801 - $20,000	0.020652908252903314	0.047468282438555456	0.2599933311710555	0.23534310344939655	0.20303139224478892	0.12108591414630215	0.06528978531700663	0.02948038382815481	0.011325777493807285	0.006329121658029472
software-engineer at Houston	software-engineer	Houston	https://www.glassdoor.com/Salaries/houston-software-engineer-salary-SRCH_IL.0,7_IM394_KO8,25.htm	87098	62000	115000	7548	1746	19532	$87,098	"$62K
Low"	"$115K
High"	$7,548	$1,746 - $19,532	0.019444456507098803	0.056111201291913874	0.12777772374506158	0.35888889004530866	0.22055552626623448	0.13333332376296292	0.04388888125253084	0.02666666475259259	0.008888888250864197	0.004444444125432098
software-engineer at Los Angeles	software-engineer	Los Angeles	https://www.glassdoor.com/Salaries/los-angeles-software-engineer-salary-SRCH_IL.0,11_IM508_KO12,29.htm	100614	73000	132000	8337	1930	21905	$100,614	"$73K
Low"	"$132K
High"	$8,337	$1,930 - $21,905	0.021761899456053807	0.05516111068008802	0.2226231169841068	0.20016289333469725	0.18805998757985629	0.14954040014056422	0.09135339605442823	0.0451530884560675	0.018619819045251822	0.007564288268885982
software-engineer at Atlanta	software-engineer	Atlanta	https://www.glassdoor.com/Salaries/atlanta-software-engineer-salary-SRCH_IL.0,7_IM52_KO8,25.htm	86416	63000	114000	7474	1745	19142	$86,416	"$63K
Low"	"$114K
High"	$7,474	$1,745 - $19,142	0.02718395790315801	0.04097589470267241	0.29882365379271614	0.28043464378561994	0.18189276276901115	0.09174573465840109	0.047771742237226356	0.018988808844988905	0.009194564768278842	0.0029882365379271616
software-engineer at Dallas	software-engineer	Dallas	https://www.glassdoor.com/Salaries/dallas-software-engineer-salary-SRCH_IL.0,6_IM218_KO7,24.htm	88019	64000	115000	7465	1755	19437	$88,019	"$64K
Low"	"$115K
High"	$7,465	$1,755 - $19,437	0.02028680227996905	0.15022727531670338	0.18135704242806708	0.31129767111363693	0.13326342002703684	0.08726825522698364	0.06523273827953374	0.030255331953205487	0.013116465112838871	0.007694998262025103
software-engineer at San Francisco	software-engineer	San Francisco	https://www.glassdoor.com/Salaries/san-francisco-software-engineer-salary-SRCH_IL.0,13_IM759_KO14,31.htm	126069	96000	159000	10237	2377	26129	$126,069	"$96K
Low"	"$159K
High"	$10,237	$2,377 - $26,129	0.01429294968365945	0.0455236404892243	0.1575038790902413	0.21906481667889408	0.2142254558136406	0.17297839867562168	0.09819361342814747	0.05013780272293184	0.01873838819556091	0.009341055222078051
software-engineer at Washington	software-engineer	Washington	https://www.glassdoor.com/Salaries/washington-dc-software-engineer-salary-SRCH_IL.0,13_IM911_KO14,31.htm	98900	73000	130000	7957	1786	21053	$98,900	"$73K
Low"	"$130K
High"	$7,957	$1,786 - $21,053	0.018938374501822654	0.03894374613726635	0.1388369853409449	0.3054147966627691	0.2020538778577815	0.1480394385791908	0.08508947859463746	0.03667634668684196	0.02000534109396404	0.006001614544781078
software-engineer at Boston	software-engineer	Boston	https://www.glassdoor.com/Salaries/boston-software-engineer-salary-SRCH_IL.0,6_IM109_KO7,24.htm	98968	76000	127000	8305	1953	21294	$98,968	"$76K
Low"	"$127K
High"	$8,305	$1,953 - $21,294	0.03578834247973716	0.061627776859658485	0.1424622955085447	0.2615724490552343	0.22730410407695714	0.14177148267058984	0.07489290046859658	0.030537537137402388	0.016443281179449005	0.007599830563830401
software-engineer at Seattle	software-engineer	Seattle	https://www.glassdoor.com/Salaries/seattle-software-engineer-salary-SRCH_IL.0,7_IM781_KO8,25.htm	116494	86000	149000	9585	2195	24633	$116,494	"$86K
Low"	"$149K
High"	$9,585	$2,195 - $24,633	0.019198675294160028	0.04924882426732195	0.16944910136198016	0.22454080963804654	0.22771284963344038	0.14590974095682252	0.08848078799211849	0.04791328840422183	0.017028389666873634	0.010517532785014454
software-engineer at Philadelphia	software-engineer	Philadelphia	https://www.glassdoor.com/Salaries/philadelphia-software-engineer-salary-SRCH_IL.0,12_IM676_KO13,30.htm	89127	65000	117000	7634	1769	19716	$89,127	"$65K
Low"	"$117K
High"	$7,634	$1,769 - $19,716	0.018212867165761596	0.04467851527822966	0.2777460992921197	0.2586793850679142	0.1724531085426757	0.10700057376789192	0.0626067482414367	0.034149160654065404	0.01451337244702035	0.009960169542884914
software-engineer at San Diego	software-engineer	San Diego	https://www.glassdoor.com/Salaries/san-diego-software-engineer-salary-SRCH_IL.0,9_IM758_KO10,27.htm	101316	76000	130000	8270	1901	21425	$101,316	"$76K
Low"	"$130K
High"	$8,270	$1,901 - $21,425	0.02043627801633212	0.050287078673315416	0.08610777444221314	0.16165341826913276	0.20298504693826305	0.36808261422873406	0.05970152769744375	0.030998850330762714	0.014236515311831862	0.005510896091971184
software-engineer at Denver	software-engineer	Denver	https://www.glassdoor.com/Salaries/denver-software-engineer-salary-SRCH_IL.0,6_IM234_KO7,24.htm	90451	66000	118000	7622	1784	19945	$90,451	"$66K
Low"	"$118K
High"	$7,622	$1,784 - $19,945	0.03468140678004356	0.0475264297710507	0.16826907646904019	0.2588261261990638	0.19973922750133194	0.16762692884994032	0.070004961179187	0.036608108463469395	0.014129473524882615	0.0025882612619906385
software-engineer at Phoenix	software-engineer	Phoenix	https://www.glassdoor.com/Salaries/phoenix-software-engineer-salary-SRCH_IL.0,7_IM678_KO8,25.htm	87958	63000	115000	7542	1733	19477	$87,958	"$63K
Low"	"$115K
High"	$7,542	$1,733 - $19,477	0.021145380589299895	0.07004399046250943	0.22158587219683723	0.249779762938523	0.182378941927429	0.15506602440962738	0.0665198477872098	0.023788550040715343	0.0061674120386202465	0.0035242176092285023
